Post Date,Description,Debit,Credit,Balance_anon,category
12/28/13,HARRIS TEETER #0 CHARLOTTESVILUS,5.5,,3451.46,
12/27/13,SQ *STAUNTON BOOKS STAUNTON US,5.5,,3456.96,
